date,sarampo,isPartial
2018-01-07,2,False
2018-01-14,3,False
2018-01-21,3,False
2018-01-28,2,False
2018-02-04,3,False
2018-02-11,6,False
2018-02-18,6,False
2018-02-25,6,False
2018-03-04,7,False
2018-03-11,9,False
2018-03-18,10,False
2018-03-25,14,False
2018-04-01,9,False
2018-04-08,9,False
2018-04-15,7,False
2018-04-22,6,False
2018-04-29,6,False
2018-05-06,6,False
2018-05-13,6,False
2018-05-20,6,False
2018-05-27,4,False
2018-06-03,5,False
2018-06-10,7,False
2018-06-17,6,False
2018-06-24,8,False
2018-07-01,40,False
2018-07-08,61,False
2018-07-15,100,False
2018-07-22,47,False
2018-07-29,54,False
2018-08-05,60,False
2018-08-12,77,False
2018-08-19,48,False
2018-08-26,48,False
2018-09-02,19,False
2018-09-09,16,False
2018-09-16,12,False
2018-09-23,10,False
2018-09-30,9,False
2018-10-07,6,False
2018-10-14,8,False
2018-10-21,9,False
2018-10-28,7,False
2018-11-04,8,False
2018-11-11,6,False
2018-11-18,6,False
2018-11-25,6,False
2018-12-02,7,False
2018-12-09,6,False
2018-12-16,5,False
2018-12-23,3,False
2018-12-30,3,False
2019-01-06,2,False
2019-01-13,2,False
2019-01-20,2,False
2019-01-27,2,False
2019-02-03,3,False
2019-02-10,9,False
2019-02-17,10,False
2019-02-24,7,False
2019-03-03,5,False
2019-03-10,7,False
2019-03-17,8,False
2019-03-24,9,False
2019-03-31,8,False
2019-04-07,8,False
2019-04-14,7,False
2019-04-21,7,False
2019-04-28,5,False
2019-05-05,6,False
2019-05-12,6,False
2019-05-19,6,False
2019-05-26,6,False
2019-06-02,5,False
2019-06-09,6,False
2019-06-16,7,False
2019-06-23,10,False
2019-06-30,10,False
2019-07-07,15,False
2019-07-14,32,False
2019-07-21,78,False
2019-07-28,57,False
2019-08-04,75,False
2019-08-11,94,False
2019-08-18,93,False
2019-08-25,100,False
2019-09-01,80,False
2019-09-08,43,False
2019-09-15,37,False
2019-09-22,28,False
2019-09-29,30,False
2019-10-06,37,False
2019-10-13,44,False
2019-10-20,31,False
2019-10-27,22,False
2019-11-03,22,False
2019-11-10,18,False
2019-11-17,28,False
2019-11-24,34,False
2019-12-01,19,False
2019-12-08,11,False
2019-12-15,10,False
2019-12-22,9,False
2019-12-29,7,False
2020-01-05,9,False
2020-01-12,9,False
2020-01-19,7,False
2020-01-26,16,False
2020-02-02,10,False
2020-02-09,100,False
2020-02-16,43,False
2020-02-23,24,False
2020-03-01,33,False
2020-03-08,42,False
2020-03-15,27,False
2020-03-22,18,False
2020-03-29,11,False
2020-04-05,9,False
2020-04-12,9,False
2020-04-19,8,False
2020-04-26,7,False
2020-05-03,6,False
2020-05-10,9,False
2020-05-17,7,False
2020-05-24,6,False
2020-05-31,5,False
2020-06-07,5,False
2020-06-14,5,False
2020-06-21,7,False
2020-06-28,7,False
2020-07-05,5,False
2020-07-12,7,False
2020-07-19,8,False
2020-07-26,7,False
2020-08-02,7,False
2020-08-09,7,False
2020-08-16,9,False
2020-08-23,12,False
2020-08-30,10,False
2020-09-06,8,False
2020-09-13,6,False
2020-09-20,6,False
2020-09-27,6,False
2020-10-04,6,False
2020-10-11,8,False
2020-10-18,7,False
2020-10-25,7,False
2020-11-01,4,False
2020-11-08,5,False
2020-11-15,5,False
2020-11-22,4,False
2020-11-29,4,False
2020-12-06,4,False
2020-12-13,5,False
2020-12-20,3,False
2020-12-27,4,False
2021-01-03,68,False
2021-01-10,75,False
2021-01-17,96,False
2021-01-24,61,False
2021-01-31,42,False
2021-02-07,48,False
2021-02-14,46,False
2021-02-21,54,False
2021-02-28,59,False
2021-03-07,62,False
2021-03-14,63,False
2021-03-21,67,False
2021-03-28,62,False
2021-04-04,66,False
2021-04-11,58,False
2021-04-18,58,False
2021-04-25,63,False
2021-05-02,48,False
2021-05-09,64,False
2021-05-16,61,False
2021-05-23,68,False
2021-05-30,66,False
2021-06-06,64,False
2021-06-13,64,False
2021-06-20,65,False
2021-06-27,55,False
2021-07-04,50,False
2021-07-11,47,False
2021-07-18,45,False
2021-07-25,43,False
2021-08-01,42,False
2021-08-08,47,False
2021-08-15,49,False
2021-08-22,53,False
2021-08-29,67,False
2021-09-05,57,False
2021-09-12,83,False
2021-09-19,100,False
2021-09-26,85,False
2021-10-03,66,False
2021-10-10,79,False
2021-10-17,80,False
2021-10-24,74,False
2021-10-31,55,False
2021-11-07,70,False
2021-11-14,60,False
2021-11-21,66,False
2021-11-28,70,False
2021-12-05,56,False
2021-12-12,50,False
2021-12-19,46,False
2021-12-26,51,False
2022-01-02,10,False
2022-01-09,11,False
2022-01-16,11,False
2022-01-23,10,False
2022-01-30,7,False
2022-02-06,8,False
2022-02-13,12,False
2022-02-20,11,False
2022-02-27,10,False
2022-03-06,13,False
2022-03-13,14,False
2022-03-20,17,False
2022-03-27,19,False
2022-04-03,36,False
2022-04-10,40,False
2022-04-17,41,False
2022-04-24,100,False
2022-05-01,67,False
2022-05-08,43,False
2022-05-15,35,False
2022-05-22,37,False
2022-05-29,43,False
2022-06-05,30,False
2022-06-12,20,False
2022-06-19,21,False
2022-06-26,18,False
2022-07-03,13,False
2022-07-10,11,False
2022-07-17,11,False
2022-07-24,11,False
2022-07-31,12,False
2022-08-07,15,False
2022-08-14,19,False
2022-08-21,18,False
2022-08-28,18,False
2022-09-04,14,False
2022-09-11,16,False
2022-09-18,16,False
2022-09-25,13,False
2022-10-02,10,False
2022-10-09,10,False
2022-10-16,13,False
2022-10-23,14,False
2022-10-30,11,False
2022-11-06,12,False
2022-11-13,12,False
2022-11-20,12,False
2022-11-27,9,False
2022-12-04,9,False
2022-12-11,9,False
2022-12-18,7,False
2022-12-25,7,False
